"Title","Date","Rating","Content"
"Hakuna Matata","21 May 2021","10/10","What a wonderful phrase
Hakuna Matata!Ain't no passing craze
It means no worries
For the rest of your days
It's our problem-free philosophy
Hakuna Matata!Why, when he was a young warthog
When I was a young wart-hoooog!Very nice!Thanks!He found his aroma lacked a certain appeal
He could clear the Savannah after every meal
I'm a sensitive soul, though I seem thick-skinned
And it hurt that my friends never stood downwind
And oh, the shame
(He was ashamed!)
Thought of changin' my name
(Oh, what's in a name?)
And I got downhearted
(How did you feel?)
Every time that I-
Pumbaa! Not in front of the kids!Oh... sorry
Hakuna Matata!What a wonderful phrase
Hakuna Matata!Ain't no passing craze
It means no worries
For the rest of your days
Yeah, sing it, kid!It's our problem-free philosophy
Hakuna Matata!Hakuna Matata
Hakuna Matata
Hakuna Matata
Hakuna
It means no worries
For the rest of your days
It's our problem-free philosophy
Hakuna Matata."
"Greatest Animated Movie of all time","18 September 2018","10/10","This movie teaches how to fight and be brave. The emotions and bonding of a family. Its a classic kid movie. It is funny, serious and lighthearted. Age no bar movie can be watched by anyone and still can be enjoyable, with either a glass of wine or diet coke."
"Greatest Disney movie of all time","25 October 2015","8/10","Wisely said one of the greatest films of all time.... this Disney classic has won many awards because it's great. It has everything to make a good film. A setting, characters, plot, and an adventure that makes it the greatest, if not, one of the greatest films of all time history. It is a film that has horror, drama, adventure, comedy, and EVERY GENRE! The horror part comes from the terrifying deaths. But this Disney classic is the greatest movie that Disney ever pulled out of their pocket. I recommend everybody sees this amazing movie. Obviously the greatest film of 1994 and even possibly the best film of the 90's. It has no reason to be skipped or given a bad rating, this movie does have many sequels but they're pretty bad, this is the one you should be focusing on."
"Best Disney movie by far!","17 October 2007","10/10","Looking back on my childhood, The Lion King was definitely one of the best films ever made! Because it's Disney, it automatically has that quintessential cute factor, but The Lion King is also a powerful story. I love the theme in this movie - that while you cannot change the past, you should learn from it and take responsibility. The ending is one of the most powerful scenes. Even more, I love the characters. Who doesn't love Simba's courage (his childhood was definitely not ideal!), Mufasa's glory, Rafiki's quirky wisdom, and of course, Timon and Pumbaa's comic relief?I'll admit I'm slightly biased because The Lion King was also made in my generation, so I feel a certain connection towards it. But this movie really is the perfect combination of profound life lessons, humour, and entertainment. The songs are catchy as with all Disney, and some, like the ""Circle of Life,"" even have some meaningful lyrics. Also, the background music compliments the action in the movie very well. The voice acting is brilliant, with a strong vocal cast nailing their respective roles. Too bad Disney films aren't made this way now...The Lion King was definitely on the money."
"It's pretty good","29 April 2021","6/10","The Lion King is a classic movie. The plot isn't original, but that's not really a problem. It's good."
"My Favorite Film Period!","4 September 2008","10/10","I'm just going to come right out and say it, I think this is ""Sensational""! I grew up in the 2nd Golden Disney era, and while the other films were brilliant, The Lion King was the one that always stood out. It's profound coming-of-age story has filled me with joy and heartache. In fact the older I become, the more I can appreciate the art, script, and journey the filmmakers went through.The aspects of this films are excellent as far as I'm concerned. I'll start with the animation. It's stunning! The artists and animators alike went the full nine yards to grab the audience's imagination and put them on Safari ride. It's precision as well as colorful nature has turned the savanna into a combination of a documentary and fantasy.The music is a blast to listen to! Elton John & Tim Rice were right on the money. They combine elements of pop-show-tunes and moving ballads, so it remains catchy, fresh, easy, and moving all at the same time. The score by Hans Zimmer has been nothing short of splendid. It captures the essence within the first five minutes. The power and majesty of the score awakens the senses and even heart. And credit should absolutely be given to Lebo M for providing the culture and spirit of South Africa. Sirli all these very different of equally talented men into one project and you have something magnificent.And finally- what a remarkable cast! If it hadn't been for these fantastic men & women, we wouldn't have the characters with the same amount of depth or hysteria. Each actor borough a critical but top notch performance. And a standing ovation to them should be given. James Earl Jones, Jermy Irons, Matthew Broderict, Johnathan Taylor Thomas, Nathan Lane, Ernie Sabella, Rowan Atkins, Moria Kelley, Robert Guillume, Whoopi Goldberg, Cheech Marin and Jim Cummings should all be immensely proud to have been apart of this project.All in all this film couldn't be anymore entertaining to me. Filled with drama,laughter,suspense,adventure,romance and tragedy. It's become one of the most beloved and acclaimed thematic experiences. And it thrills me to know people around the world continue to celebrate it."
"The best","9 April 2003","NA","This is the best Disney animated movie ever!  I first saw this movie in the theatre when it came out and it has became one of my favorite movies.  I am 27 years old and I can still watch this movie over and over again.  I have a 4 year old daughter that loves this movie as well, but she will not watch it with me anymore because I know this movie word for word.  I was very excited to show her this movie and hopefully she will pass it on to her children. This is a movie that I hope will be passed on from generation to generation. The characters were great as well as the voices behind them.  Whoopie Golderg and Cheech Marin brought the hyenas to life as well as Jonathon Taylor  Thomas and  the rest of the voices.  I can't wait to share this movie with mu son when he gets old of to watch it. (he his 6 months old)"
"Woow","14 January 2020","NA","I like it enjoyed this movie recommendation for you guys animal lovers"
"Masterpiece","16 November 2020","NA","This movie is one of the best movies have ever made really love it"
"Unpopular opinion","19 October 2020","2/10","Okay, first of all I believe this movie is not a ripoff of Kimba the While Lion. There's a video on YT by YMS which goes into detail on that. Check it out before labeling this as a ripoff or whatever.That said, I did not like this movie at all. Perhaps it is because I did not watch it as a child and had no nostalgia for it. Or perhaps it is because I watch a lot of Lion shows on Discovery/Nat Geo, etc. and nothing depicted in this is at all realistic and honestly a story about an actual lion pride is much, much more interesting and appealing to me. Or perhaps this would have worked better with humans (Hamlet is what it is based on I believe). Or maybe this is just a bad movie?I did not connect with any of the characters even if I was to give in to the suspension of disbelief completely. Did not like the musical numbers, the story or the direction. The fact that Simba or whatever the main character is called gets it on with most likely his sister or cousin (lion prides always have related males as heads) made me sick. I suppose the voice acting of the villain named -ugh, really- Scar was fine (why did he have a different accent than his brother though?). That's about it. Don't get the praise for this movie at all. It was a total slog to sit through.That said, since most people love it, give it a go if you haven't, you'll probably like it."
"Absolutely Amazing!!!","24 April 2016","9/10","This has grossed $987.5 million worldwide. Considering it a better movie than the Wild. Anyways, let's talk about the movie. In the Pride Lands of Africa, a lion rules over the animals as king. The birth of King Mufasa and Queen Sarabi's son Simba creates envy and resentment in Mufasa's younger brother, Scar, who knows his nephew now replaces him as heir to the throne. After Simba has grown into a young cub, Mufasa gives him a tour of the Pride Lands, teaching him the responsibilities of being a king and the Circle of Life. Later that day, Scar tricks Simba and his best friend Nala into exploring a forbidden elephant graveyard, despite the protests of Mufasa's hornbill majordomo Zazu. At the graveyard, three spotted hyenas named Shenzi, Banzai and Ed attack the cubs before Mufasa, alerted by Zazu, rescues them and forgives Simba for his actions. That night, the hyenas, who are allied with Scar, plot with him to kill Mufasa and Simba. The next day Scar lures Simba to a gorge and tells him to wait there while he gets Mufasa. On Scar's orders, the hyenas stampede a large herd of wildebeest into the gorge. Mufasa rescues Simba, but as Mufasa tries to climb up the gorge's walls, Scar throws him back into the stampede, where he is trampled to death. After Simba finds Mufasa's body, Scar convinces him he was responsible for his father's death and advises Simba to flee the kingdom. As Simba leaves, Scar orders Shenzi, Banzai and Ed to kill the cub, but Simba escapes. That night, Scar announces to the pride that both Mufasa and Simba were killed in the stampede and steps forward as the new king, allowing a pack of hyenas to live in the Pride Lands. After running far away, Simba collapses from exhaustion in a desert. Timon and Pumbaa, a meerkat and a warthog, find him and nurse him back to health. Simba subsequently grows up with them in the jungle, living a carefree life with his friends under the motto ""hakuna matata"" (""no worries"" in Swahili). When he is a young adult, Simba rescues Timon and Pumbaa from a hungry lioness, who turns out to be Nala. She and Simba reconcile and fall in love. Nala urges Simba to return home, telling him the Pride Lands have become a wasteland with not enough food and water. Feeling guilty over his father's death, Simba refuses and storms off, leaving Nala disappointed and angry. As Simba exits the jungle, he encounters Mufasa's mandrill friend and adviser, Rafiki. Rafiki tells Simba that Mufasa is ""alive"" and takes him to a pond. There Simba is visited by the ghost of Mufasa in the sky, who tells him he must take his rightful place as the king of the Pride Lands. Simba realizes he can no longer run from his past and goes home. Nala, Timon, and Pumbaa join him, and agree to help him fight. At the Pride Lands, Simba sees Scar hit Sarabi and confronts him, but Scar taunts Simba over his ""part"" in Mufasa's death. However, when Scar pushes Simba to the edge of Pride Rock, he reveals that he killed Mufasa. Enraged, Simba roars back up and forces Scar to reveal the truth to the pride. Timon, Pumbaa, Rafiki, Zazu, and the lionesses fend off the hyenas while Scar, attempting to escape, is cornered by Simba at the top of Pride Rock. Scar begs Simba for mercy, insisting that he is family and placing the blame on the hyenas. Simba no longer believes Scar, but spares his life on the grounds of forever leaving the Pride Lands. Scar appears to comply, but then attacks his nephew. After a fierce fight, Simba throws his uncle off Pride Rock. Scar survives the fall, but is attacked and eaten alive by the hyenas, who overheard his attempt to betray them. With Scar and the hyenas gone, Simba ascends to the top of Pride Rock and takes over the kingdom as the rain falls again. Sometime later, with Pride Rock restored to its former glory, Simba looks down happily at his kingdom with Nala, Timon, and Pumbaa by his side; Rafiki presents Simba and Nala's newborn cub to the inhabitants of the Pride Lands, and the Circle of Life continues."
"It places itself among the best animated productions of all time.","30 July 2019","10/10","Oscillating between big and colorful, the newest member of the Disney Renaissance marks a higher mark in terms of the stakes of the animation house, with a grand and epic story that possesses all the great Shakespearean traits, as well as the beautiful animation and the scope behind it, filled with charming, catchy and memorable songs, an amazing score, a worthy voice-casting and the best and unique elements every single animated flick should showcase, all in amazing-great deliverance."
"gooddd","21 November 2019","10/10","Love. great detailed animation. WATCH THE LION KING BRO"
"Loved it!","27 March 2015","10/10","I absolutely loved this movie. I've loved it since I was a child and I still love it now. Definitely makes me cry every time I watch it. Damn it. I love the concept of the movie and I love the characters. The characters are very different and each have their own personality. My favorite characters are definitely Timon and Pumbaa. ""It means no worries, for the rest of your days. It's our problem free, philosophy, Hakuna Matata."" I even re-watched the movie when it came back out into theaters in 3D! It was absolutely fantastic. I don't think I could ever get sick of this movie. Absolutely loved it. Emotional, thrilling (in a good way), and a great classic Disney movie."
"This is easily the best film ive ever seen","17 September 2019","10/10","And how surprising is it that it was made by the same company who made endgame, the remake however was a complete dumpster fire"
"The best animated movie!!!","28 April 2020","10/10","The movie is wonderful and full of emotion. A visionary triumph filled me with that Disney magic."
"The Greatest Animated Film I Have Ever Seen","27 February 2006","7/10","In 1989 Disney released The Little Mermaid and reinvented it's animation department. The peak of that reinvention seemed to end with Aladdin. But then in 1994 they released the highest grossing and most commercially successful animated film of that time. I have seen Beauty And The Beast, Aladdin, and Snow White And The Seven Dwarfs. This one leaves them all in the dust. I first saw it in theaters at the age of six. My uncle whom I was extremely close to died a couple months before the movie came out. I had to be taken out of the theater. It took me six years before I was able to watch it without breaking down at Mufasa's death scene. Now I simply break down and cry throughout the rest of the movie. The film is incredibly deep, has an all star voice cast, and blends splendid animation with Oscar winning songs and compulsive storyline. You can't help but enjoy it."
"Overrated","18 August 2021","10/10","Film in my opinion good but very overrated. Cute at times but boring at others, the film introduces iconic characters and poorly written characters, a good balance that makes it beautiful but not wonderful."
"A Truly Epic Disney Classic.","21 April 2010","6/10","This amazing Disney film has all the makings of a classic. Great animation, excellent music, likable characters, and a great story. These are the type of movies I grew up with. I watched this film with my little sister a few days ago and it gave me goosebumps. This was Disney at its finest.It's sad however, for it seems that Disney's time has passed. Chicken Little, Home on the Ranch, Meet the Rbinsons, Bolt? These aren't necessarily bad films, but they are hardly on par with this film. The Lion King will be one of those classics that will stand the test of time."
"Did not feel so great","24 March 2019","2/10","The movie just felt above average.The songs was average and just a kingdom betrayal story.Not in the best list of my personal favourite animated movies."
"The Spoiled King.","9 August 2020","9/10","This is the most generic and lame animated movie ever made. Firstly, it's a complete rip-off of Kimba the White Lion. Secondly, on it's own it's still terrible. Scar is the most predictable and stereotypical villain ever - Selfish, dark looking, have scars, betrays and backstabs everyone, wants power. You could not make any more generic villain. Simba is so spoiled, he disobeys rules which have obvious consiquences, he do not have any responsibility all he cares about fun, until at the end of the film he takes the leadership. There are tons of songs in this film which makes it incredibly annoying and kills pacing. The story is very simple and weak. The only good thing about this film is humor. I suspect that anyone who claims this is the best animated film, has only seen Disney movies."
"Through despair and hope","26 June 2015","10/10","When marketing The Lion King for the first time way back in 1994, Disney made the brave decision to have its first cinematic trailer consisting entirely of the opening sequence of the film. It's a decision that highlighted the enormous strength and beauty of that opening scene where the animals of the Pridelands gather for the coronation of young Simba while the iconic Circle of Life accompanies his introduction. It's a gorgeous spectacle of animation and music which immediately grips the audience's attention and establishes the setting. The cell-shaded 2D animation of the wide range of animals combines easily with the matte painted backgrounds which add visual depth and beautiful scenery in likes of waterholes, mountain ranges, lush forests and waterfalls. The foreground and background blend seamlessly and the world of The Lion King is endlessly alive and breathing even with its limited selection of camera movements. It's at once more inviting than the relatively sterile 3D environments of some more modern Disney works (Big Hero 6 comes to mind). The film's soundtrack is similarly impressive. Elton John and Tim Rice combine to bring five original songs that still draw applause, recognition and sing-a-longs even two decades later. The opening Zulu choral vocals of The Circle of Life are powerful and evocative, while the animated choreography that combines with I Just Can't Wait to Be King makes for a jaunty upbeat tune. Hans Zimmer's score goes from strength to strength, drawing upon traditional African choral themes and percussion which resonates during the film's emotional moments. The voice acting is unique and enduring. The booming bass tones of James Earl Jones makes for a imposing father figure in Mufusa, in contrast to Jeremy Irons' Scar, rich with haughty disdain for his pride-mates. A fun filled exile in the middle of the film is characterised by that of the jovial Timon and Pumbaa, while young Simba's voice grows into the deeper tones of Matthew Broderick, during an excellent and colour filled montage over Hakuna Matata. The three hyena cronies of Scar are also distinct despite their ugly cloned appearances, boasting the voice work of Whoopi Goldberg, Marin and Cummings as the overly enthusiastic, sassy and hot-headed henchmen. The story is a simple if not effective one, drawing upon similar themes from Hamlet. It's a tale of Simba's quest for redemption and revenge after being falsely exiled for his father's death. The traditional coming of age plot is well paced and is earmarked by several deeply emotional moments, the most significant of those being Simba's grief at the realisation of his father's death (Jonathan Taylor Thomas's voice acting in this scene is heartbreaking). There's plenty of emotional depth in the portrayal of Simba through the themes of ostracization, loss, guilt and growing up which makes this film appropriate for both adult and children alike. The Lion King has a rightful place in Disney's elite as a vibrant, poignant and visually immersive film."
"Amazing Movie for all Ages!","4 July 2008","10/10","You truly have not seen an animated movie until you have seen ""The Lion King"". It is witty, exquisitely animated, and charming. The plot line is original and although I am well aware that it was copied from ""Hamlet"", as far as animated movies go, it was daring. Little Simba is absolutely the cutest animal ever, except for possibly Dumbo... While all of these factors have made it one of my favorite movies, there is one more that definitely separates it from all the other Disney movies, and that is the voice talent. James Earl Jones is wonderful as Mufasa as well as Jeremy Irons as the devious Scar. The bottom line is that you must watch this movie because it has a great message for younger kids, as well as a few jokes that children won't understand, for adults."
"love it","24 April 2014","10/10","I love this movie its very touching even though they are all animals the music scenes were my favorite as well the movie itself had a whole lot of suspense when the father died and his death was blamed on his own son who had nothing at all to do with the tragedy but his sly evil uncle was the one to blame he planned it all but it was very interesting when he thought that Simba was Mufasa and then the fight at the end was thrilling and the way he died was good for him.over all awesome movie!!! Hope they make more movies that will keep people or viewers wanting more. I believe that this is a great family movie to watch together."
"One of Disney's Finest and Set to be an All-Time Classic","25 March 2018","10/10","With a great story, great actors and Disney magic, nothing can go wrong . Factor in good soundtrack scores and what do you have ? An all-time masterpiece up there with Jungle Book, Mary Poppins and Fantasia."
"One of the greatest films ever made.....","14 May 2007","10/10","Now, I'm no Disney fan.Beauty and the Beast, Aladdin, Toy Story 2, Robin Hood at a stretch, and that's about all you'll hear from me about the evil corporation..........but I just adore this film. It is the movie I have seen more than any other. I know it backwards.Animation, storyline, voice-talent, music, characters - this film has it all. There seem to be no cracks whatsoever in what has to be the perfect movie.I know it takes a lot from Hamlet, but so what? At least the film takes itself seriously, which is something that cannot really be said for some of the animated garbage coming out nowadays.If you've never seen this movie before, watch it, and you'll love it. I defy anyone to dislike this movie - it really is that good.Sad, so sad, it'll reduce you to tears, lest your heart be made of stone. Incredibly humorous in parts. Touching, without being overly sentimental. Even now, the animation stands out.And to think, when this was released, it was seen as the B movie to Pocahontas. Pocahontas was a pile of pathetic tripe, and deserved only one viewing. The Lion King, an accidental hit, will be forever remembered as a genuine Walt Disney Classic."
"My favoeite","19 June 2018","7/10","One of my favorite Disney movies of all time. Always will be. Although I cry every time I watch it."
"The last GREAT hand-drawn animation movie EVER","5 September 2004","10/10","this movie is probably the best Disney movie ever. the plot is intriguing, never slowing down, and it keeps you interested throughout the entire thing.they don't waste a second with ""fluff"" in this movie, every minute is important to the plot. scar is probably the most evil Disney bad guy ever, and the story goes beyond the love/exploring the world cliché that other Disney movies are. this movie is unparalleled by anything Disney ever made.this movie probably marked the end of the era of hand-drawn animation. toy story came out the year following the lion king, and it ushered in a whole new wave of computer animation that will brush hand-drawn animation aside. after this movie, hand-drawn animated movies just went downhill in quality in general (okay, mulan wasn't that bad, but still doesn't even compare to the lion king.) think about it. all the good animated movies that are coming out now (finding nemo, shrek 1 and 2) are done by computer. it's a shame that there most likely won't be any attention paid to the art of hand-drawn animated movies anymore."
"Lovable lions....","27 November 2003","7/10","This was one of the first modern animated movies I had seen and I did enjoy it. I went into watching this thinking I wouldn't like it at all and did so that's a plus.I liked this movie in many ways. Obviouysly it was very sweet and touching and the complete aura of realism was there for an animated picture. There were moments I cried, the story was just so touching and I can see why this movie was..is.. so big.However, as much as I liked it, I don't think it was as good as Shrek(just my opinion-I KNOW many will disagree with me on this one!)Shrek probably makes my 50 top films ever. Lion King however was a major influence for me because had I not liked it, I may not have given other similar films a chance.One thing about Lion King. It was heavier then I thought it would be. There's some tough to watch scenes and I was a little surprised they'd be there in a movie that so many children would be seeing. I was expecting a much lighter movie but it was a beautiful film.However, although I wouldn't put this in the same category as Shrek(meaning, for me, I wouldn't necessarily want to watch it over and over as with Shrek) I'd still give it a well above average rating. Lion King was an extremely well done, moving picture."
"Disney of life.","19 June 2019","1/10","Disney has give us the best movie they have ever made. The lion king is a golden masterpiece thanks to its music, animation & humor. It will be remember as one of the best movies of all time."
"The Lion King - Some Nice Animation and Good Story Line","26 January 2023","9/10","Disney is used to making animated classics; but that should not diminish the praise they deserve when they occasionally rise above the norm in the genre on a yearly basis. This film exceeds the norm in several categories. The main character and his son are featured as the Lion King and cub, but the real backbone of the film are the funny supporting characters of the jungle, which include a snake, a funny boar, and a wise monkey (patented after the Chinese tradition of wise monkeys). Simba is a young cub. Who idolizes his father, and must take his place upon his father's death. The film highlights the problems of youth as they try to step into the shoes of others who have preceded them in life. It is not an easy task, and the film shows us why. Good entertainment for the whole family."
"Okay...but massively overrated","6 September 2016","10/10","The Lion King is easily one of the most popular Disney movies out there and perhaps that's because it was very popular with kids at the time and those kids who have grown up now still consider it Disney's best. It is a visual treat which underlines themes of love and loss. But people call this the ""adult"" story of Disney and honestly, I find it to be one of the more childish entries in the Canon. Yes, Mufasa's death is pretty hard for a kids film but after that, the movie just continues with a very childish tone. Take Timon and Puumba, for example, who are thrown into the plot to remedy the movie from being too heavy-handed.The scene where they're looking up at the stars and make fun of Simba is rather disconcerting - they literally just laughed at him for speaking of his late father's wisdom. Really? In general, the story is weak and really loses itself after Mufasa's death. The characters also weren't as good as everyone says. Everyone claims Scar is the best Disney villain....but all he really did was kill his own brother, that's literally it. Why would he send his minions to kill Simba when he's knows how unreliable they are? And when he is in power, he's just lazy. How did Scar gain the title of best Disney villain? Timon and Puumba are also extraneous to the plot just to keep the kids demographic interested. But the worst is Simba and Nala. Not only are they both bland and boring but the romance between them is rather questionable considering they could be brother and sister (or at least cousins). The music is fine but it doesn't quite live up to the works of Alan Menken and Howard Ashmen in previous Disney movies. The only two songs I loved were The Circle of Life and Be Prepared. Other than that, the soundtrack is somewhat weak. I just can't wait to be King is frivolous and random to the plot, Hakuna Matata has some very stupid lyrics and a whole verse dedicated to a warthog's flatulence, Can You feel the love tonight is a very syrupy song which just doesn't work with its very weak lyrics - ""Why won't he be the king I know he is. The king I see inside"". The Lion King can't seem to keep up with its own maturity. The fart jokes, the bi-polar tone of being serious and silly, the questionable incest within the romance....it all just doesn't work for me. A highly overrated movie."
"A truly beautiful Disney classic.","24 July 2011","NA","The Lion King spoke to me as soon as I saw it. It spoke to me as nothing less than a majestic adventure. Beautifully done on every level; from the music by Elton John or the whole story. I normally do not care for musical numbers, but these were excellent enough to draw me in. James Earl Jones does excellent voice work as Simba's proud and powerful father. It is more dramatically staged than any previous animated film and still remains a powerful work of art to this very day. Even amongst films in general, this one still holds its own as a classic and I think it will remain very powerful for a long stretch of time."
"A CLASSIC Disney MOVIE","9 September 2015","NA","I watched this movie at the theater when I was 6 years old and I am now 25 years old. This movie is one of the select movies that will truly stand the test of time. The storyline is truly captivating. Disney always makes such quality movies, but this makes you think very deeply about life. I will pass this film down to generations to come. The characters are so well thought out and there is humor, grief and integrity all rolled into one. To anyone that has not watched this, please do ensure to watch this Disney classic. You will be captivated throughout the entire duration. A soulful, yet effervescent delight."
"A timeless classic... a truly magnificent achievement of the art of making movies","31 August 2010","10/10","I first watched The Lion King when I was just a small child and I absolutely loved it. But it's now, in my mature years, I realize what an amazing movie it is, not just in the animation category but overall.The blend of the great storyline, amazing visuals, moving scenes (Mufasa's death scene still gets to me to this day and Mufasa appearance in the clouds talking to Simba was epic), enchanting music, and colorful characters is truly an achievement that is almost never seen these days....I recommend The Lion King to all ages, everyone on earth must be able to experience this landmark of a movie where not one moment is dull, no eyes will be dry, and no one won't get the ""chills""."
"The Best Movie Ever!!!","18 January 2014","10/10","If I'm only able to choose one movie to carry with me when the world ends, This Is It! The Lion King contains a great number of excellent elements; its story, characters, and music are all phenomenal. And the most important of all, it shows us what bravery, love, friendship, and loyalty are through a impressive, touching, and funny way. This is the movie you can use to teach your children what's really vital in their lives, and you can also watch it again and again when you grow up as well, even when you're 90. Believe me, you'll still find countless fun in it. Hakuna Matata!"
"The Lion King is a movie about a young lion prince who runs away from home, but who returns as an adult to save the lands from the claws of an evil new king.","2 August 2015","10/10","The Lion King will forever be my favorite Disney movie.The scenes can be very emotional at times, the scenes can make you smile and laugh, the scenes can make you cry. This is the only movie that has gotten me to bawl my eyes out, and that's saying something because I rarely ever cry. The movie also shows some romantic scenes, but, for once, the two individuals knew each other as kids and don't fall in love at first sight, they already loved each other and they admit it to each other at that point. The movie shows many funny scenes, and some can give great inspiration if you want some new comebacks to use in real-life -cough couch- the hyena scenes. There's also a lot of singing in this movie, but, really, who doesn't love singing wild animals?This is also a family movie, so you can sit down as a teenager with your grandparents or as a parent with your younger children, and it's certain that everyone will enjoy the film.I recommend this movie for everyone, as well as its sequel! <3"
"A young Lion comes into his own","23 April 2016","10/10","This film remains one of my very favorites. The journey of loss, growth and redemption plays out extremely well. Love it even to this day.If you have young children, you probably know the plot but I will not spoil that in this review. The voice actors are awesome in their delivery and really drives the emotions home. The story is not an original trope, but it still holds well in the test of time. If you haven't seen this film in a while, you should check this out with a new generation of fans. This movie makes for a good family night film or a good conversation piece among a group of film and animation enthusiasts. Again, a great film for the whole family. Enjoy and ""Hakuna Matada"" I think that's right."
"Just some thoughts on Scar (possible spoilers)","1 January 2004","7/10","This is probably why J.R.R. Tolkien was so against the use of allusions: has anybody noticed paradox of making Scar--through a song and dance routine, no less!--a Hitler-figure?  If he were really akin to Hitler, wouldn't he be creating a scapegoat race--or in this case, a scapegoat species--and run around killing all of them (or more likely having them killed) for the sake of the purity of the species?  Instead, he makes an agreement with the hyenas--who are hated by everybody in the pure Prideland--and actually honors his promise to them until the tide finally turns so far against him that he has no other way to survive than to finally make them the scapegoat. Also, Hitler was a great propagandist (I mean that in the most derogatory way possible), and I'm sure he built up the hatred against the Jews/gays/blacks/gypsies/etc. for a number of years before the genocides actually started.  As a propogandist, Scar makes a lousy Hitler (again, spoken sarcastically): he brings in the SS hyenas immediately, as if he expected them to suspect his murder of Mufasa and retaliate against him; instead (though in the script they don't) everyone should have suspected him, as his little speech and the sudden appearance of the hyenas could only have been planned well ahead of Mufasa's death (*smack*smack*smack* quick round of knocking the lions' heads together for their stupidity).  Someone as slick as Scar is supposed to have been should have known better than that; it is only the sheer dumbness of the lions and their supposed fear of the pitiful little hyenas that allows his assassination/coup to come off without a hitch. Going along with that, Scar is portrayed as being far too obviously evil, so much so that it's hard to believe nobody but Mufasa and Simba though that he was power-hungry and back-stabbing before he murdered Mufasa (though if Mufasa didn't realize it during the confrontation scene after Simba's ceremony, then somebody needs to have smacked him upside the head and yelled, ""Duh!"").  I suppose you could call that a gaping plot hole (or at least a major lack of good judgment of character) that Mufasa would expect for his brother to help him.  Obviously, Scar is meant to be a Shakespearean-type villain, like Ursula and Jafaar before him, but he is really too lacking.  NEWS FLASH TO DISNEY: Yes, Shakespeare's villains are obvious to the audience, but that's because there were scenes where their deceptions are revealed only to the audience, not to the characters being deceived!At least Ursula made her snide comments under her breath in asides.Besides Scar, a great movie.  Look for his amusing cameo in Hercules--a fate worthy of Hitler."
"Would recommend","29 September 2018","10/10","Really good and entertaining, especially for children"
"Fantastic Animation (with a capital ""A"").... Superb voices!","17 March 1999","7/10","For sure I am a Disney-fan. But perhaps I don't like the enormous media hype which is there whenever a new Disneyanimation hits the cinemas.The power of this movie is that it's both for kids and adults. And because I am a bit of both! I had the time of my life! DO BELIEVE THE HYPE!"
"It's No Toy Story","22 February 2022","2/10","Hard to believe Disney could make a film this bad a year before releasing Toy Story.The characters have no depth. The hero is a loser. Sure, movies like Aladdin portray the hero as conflicted and imperfect but Simba consistently fails and never demonstrates inner good.The songs are forgettable, and start predictably. And oddly whenever there is a song the full color goes away and becomes all yellow and orange or all dark. What is already a cartoon becomes even more cartoony.Most movies of this type have the main character experience a series of adventures, building to a climax. This one is missing that build-up. Not only that but it has the main character facing death - DEATH - time and again. I would not allow a child to see this, even if the parent could endure it.On the plus side the life lesson of the ""circle of life"" with carnivores shown eating actual meat is refreshing as compared with other Disney films trying to convert animals to vegetarianism.Much of the film looks gloomy and dingy - like some of the dystopian films where they de-saturate the colors. I watched it in 3D on a 65"" screen and was disappointed in the view.I paid for my copy of the film. I will be re-selling it."
"The epitome of a masterpiece.","16 February 2008","10/10","I am one of those teenagers who grew up in the time of Lion King, and back then I totally enjoyed it. But, having just seen it recently, I feel as if I must write this review. While not considering myself a movie buff, I have seen plenty of movies on AFI's top 250. However, even after seeing some of the best movies of all time, none of them compare to this one. (Biased) This is the best movie of all time, and let me explain. It expresses emotions that no other movie does, and because it is an animated children's movie, it is innocent while doing so. And I don't think anyone can disagree to the fact that the voice acting is loaded with talent, or the fact that the opening song is the most memorable of all time. The animation is fantastic, and HAND DRAWN! No matter how good computer animated films are, they will never achieve the 2D masterpieces Disney had in the 1990s. And this one is the most masterful of all, without a doubt. In a time of movies mostly about immoral behavior, and when the ethics of America are crashing down, we must all go back to happy days of our youth, with the Lion King."
"All time favorite","17 October 2016","10/10","This is a must watch movie if you have not seen or heard about it!! Grew up with it. Laughed, cried, trembled as a kid. ^ still do that as an adult ha ha... WATCH OR BUY THE MOVIE!! I don't know what else to type because it is so amazing and the plot is full of (I don't want to spoil it) you'll love this movie. I have re watched this movie over 78 times to be exact. I have one DVD for this movie in my friend's house, three in my house (two for backup), one in my grandparents' and I am a crazy fan for this movie so please do not judge ha ha. The Lion King as a whole is a movie for you if you like to watch movies about growing up and authority in the real life world."
"GREAT","9 June 2018","10/10","Love this movie it is amazing good message! 
This movie is perfect for kids and a best film that is a good experience for kids!"
"An A okay Movie","2 October 2018","8/10","This movie is good for the whole family. And the songs in the movie are great as well"
"Love","1 April 2018","10/10","Absolutely love the lion king, it is a must see for people of all ages and genders"
"Brilliant Musical","26 November 2016","7/10","This film is not only an incredible narrative but a wonderfully brilliant and imaginative score that puts this musical at number one permanently. Each character has been thoroughly fleshed out and that is very satisfying for an animated film. It seems The Lion King created the landscape in which all animated features were to be based off. The film captures the African culture and the importance of the pride lands in this beautiful representation of wild life and the circle of life. From its rich visuals, and incredible music from Elton John and Hanz Zimmer there will never be a musical that nearly reaches this epic animated film.It will be hard to ever reach the success and popularity of The Lion King. But what this film has done is created a breathtakingly beautiful narrative that many generations to come will enjoy and learn from."
